p_rainfall,p_cloud cover,p_evapotranspiration,p_min_temp,p_vapour_pressure,p_max_temp,p_wdf,cloud cover,evapotranspiration,min_temp,vapour_pressure,max_temp,wdf,rainfall,p_pond,pond
16,22,4,6,8,21,1,18,5,9,8,24,1,7,80,70
7,18,5,9,8,24,1,28,6,16,8,31,1,3,70,55
3,28,6,16,8,31,1,24,8,21,8,36,0,0,55,50
0,24,8,21,8,36,0,27,8,26,13,41,1,7,50,50
7,27,8,26,13,41,1,46,8,30,26,42,2,19,50,55
19,46,8,30,26,42,2,64,6,28,32,37,9,149,55,60
149,64,6,28,32,37,9,63,5,25,29,32,11,213,60,87
213,63,5,25,29,32,11,43,6,24,26,34,1,8,87,97
8,43,6,24,26,34,1,18,6,21,15,35,1,3,97,95
3,18,6,21,15,35,1,11,6,14,9,29,0,0,95,93
0,11,6,14,9,29,0,16,5,9,9,25,1,7,93,85
7,16,5,9,9,25,1,22,4,9,9,24,0,0,85,75
0,22,4,9,9,24,0,18,5,11,9,26,0,0,75,68
0,18,5,11,9,26,0,29,6,18,9,34,0,0,68,54
0,29,6,18,9,34,0,24,8,22,9,38,0,0,54,47
0,24,8,22,9,38,0,27,8,26,13,41,0,1,47,42
1,27,8,26,13,41,0,46,8,28,23,40,4,60,42,41
60,46,8,28,23,40,4,64,6,26,29,35,11,271,41,50
271,64,6,26,29,35,11,63,5,26,30,34,8,142,50,83
142,63,5,26,30,34,8,42,6,23,25,33,4,88,83,92
88,42,6,23,25,33,4,18,6,19,14,34,0,1,92,95
1,18,6,19,14,34,0,11,5,13,9,28,0,1,95,90
1,11,5,13,9,28,0,16,4,8,9,23,0,0,90,83
0,16,4,8,9,23,0,22,4,8,8,23,1,2,83,74
2,22,4,8,8,23,1,18,5,9,8,24,1,1,74,66
1,18,5,9,8,24,1,29,6,14,8,30,1,2,66,57
2,29,6,14,8,30,1,24,8,20,8,35,0,0,57,50
0,24,8,20,8,35,0,27,8,25,13,40,1,5,50,45
5,27,8,25,13,40,1,46,8,30,26,42,1,2,45,42
2,46,8,30,26,42,1,64,6,28,32,37,9,203,42,42
203,64,6,28,32,37,9,63,5,25,28,32,10,254,42,85
254,63,5,25,28,32,10,43,6,24,26,34,4,76,85,94
76,43,6,24,26,34,4,18,6,19,14,33,1,10,94,92
10,18,6,19,14,33,1,11,5,12,9,28,0,0,92,84
0,11,5,12,9,28,0,16,4,7,8,23,0,0,84,78
0,16,4,7,8,23,0,22,4,7,8,22,1,3,78,76
3,22,4,7,8,22,1,18,5,10,8,25,1,1,76,70
1,18,5,10,8,25,1,29,6,15,8,31,1,13,70,57
13,29,6,15,8,31,1,24,8,22,9,38,0,0,57,48
0,24,8,22,9,38,0,27,8,25,13,40,1,11,48,41
11,27,8,25,13,40,1,46,8,28,24,40,3,63,41,40
63,46,8,28,24,40,3,64,6,25,27,33,11,307,40,57
307,64,6,25,27,33,11,63,5,24,28,31,10,292,57,84
292,63,5,24,28,31,10,43,6,23,25,33,3,54,84,95
54,43,6,23,25,33,3,18,6,19,14,33,1,3,95,90
3,18,6,19,14,33,1,11,5,12,9,28,1,15,90,83
15,11,5,12,9,28,1,16,4,8,9,24,2,8,83,76
8,16,4,8,9,24,2,22,4,6,7,21,1,13,76,71
13,22,4,6,7,21,1,18,5,5,6,20,1,15,71,65
15,18,5,5,6,20,1,29,6,12,6,28,1,4,65,52
4,29,6,12,6,28,1,24,7,19,7,34,1,3,52,46
3,24,7,19,7,34,1,27,8,27,14,42,0,1,46,41
1,27,8,27,14,42,0,46,8,30,25,42,2,21,41,38
21,46,8,30,25,42,2,64,6,27,30,36,8,127,38,52
127,64,6,27,30,36,8,63,5,26,30,33,5,11,52,79
11,63,5,26,30,33,5,42,6,25,28,35,4,67,79,75
67,42,6,25,28,35,4,18,6,20,14,34,0,0,75,83
0,18,6,20,14,34,0,11,6,15,10,30,0,0,83,76
0,11,6,15,10,30,0,16,5,9,9,24,0,0,76,73
0,16,5,9,9,24,0,22,4,7,8,21,0,0,73,63
0,22,4,7,8,21,0,18,5,8,7,23,1,18,63,56
18,18,5,8,7,23,1,28,6,13,7,29,1,7,56,51
7,28,6,13,7,29,1,24,7,21,8,36,0,0,51,42
0,24,7,21,8,36,0,27,8,28,15,43,0,1,42,39
1,27,8,28,15,43,0,46,8,28,23,39,5,110,39,35
110,46,8,28,23,39,5,64,6,26,29,35,9,167,35,54
167,64,6,26,29,35,9,63,5,25,30,33,7,100,54,69
100,63,5,25,30,33,7,43,6,23,24,33,6,173,69,75
173,43,6,23,24,33,6,18,6,20,14,34,0,0,75,83
0,18,6,20,14,34,0,11,6,14,9,30,0,0,83,78
0,11,6,14,9,30,0,16,4,9,9,24,1,13,78,72
13,16,4,9,9,24,1,22,4,9,9,24,1,6,72,71
6,22,4,9,9,24,1,18,5,8,8,23,2,42,71,67
42,18,5,8,8,23,2,29,6,13,7,29,1,2,67,76
2,29,6,13,7,29,1,24,7,19,8,35,2,24,76,62
24,24,7,19,8,35,2,27,8,24,12,39,1,10,62,57
10,27,8,24,12,39,1,46,8,29,24,41,2,12,57,51
12,46,8,29,24,41,2,64,6,29,33,37,7,84,51,48
84,64,6,29,33,37,7,63,5,24,28,32,13,386,48,67
386,63,5,24,28,32,13,43,6,24,27,34,0,1,67,88
1,43,6,24,27,34,0,19,6,20,14,34,0,0,88,75
0,19,6,20,14,34,0,12,6,13,9,29,0,0,75,69
0,12,6,13,9,29,0,16,4,7,8,22,0,0,69,65
0,16,4,7,8,22,0,22,4,7,8,22,1,22,65,62
22,22,4,7,8,22,1,18,5,10,8,25,0,0,62,66
0,18,5,10,8,25,0,29,6,15,8,31,0,0,66,58
0,29,6,15,8,31,0,24,8,22,9,37,1,1,58,51
1,24,8,22,9,37,1,27,8,26,13,40,1,9,51,45
